iter	Passed	Remaining
779	13800	3892
780	13819	3875
781	13838	3857
782	13852	3839
783	13866	3820
784	13882	3802
785	13897	3783
786	13912	3765
787	13927	3746
788	13943	3728
789	13960	3710
790	13977	3693
791	13993	3675
792	14009	3656
793	14025	3638
794	14040	3620
795	14056	3602
796	14071	3584
797	14087	3565
798	14103	3547
799	14119	3529
800	14135	3511
801	14150	3493
802	14163	3474
803	14179	3456
804	14198	3439
805	14213	3421
806	14228	3402
807	14242	3384
808	14257	3366
809	14272	3347
810	14287	3329
811	14302	3311
812	14318	3293
813	14335	3275
814	14350	3257
815	14367	3239
816	14384	3221
817	14401	3204
818	14419	3186
819	14435	3168
820	14451	3150
821	14467	3132
822	14483	3114
823	14496	3096
824	14511	3078
825	14526	3059
826	14541	3041
827	14556	3023
828	14570	3005
829	14584	2987
830	14603	2969
831	14621	2952
832	14637	2934
833	14652	2916
834	14668	2898
835	14682	2880
836	14698	2862
837	14713	2844
838	14730	2826
839	14746	2808
840	14761	2790
841	14777	2772
842	14794	2755
843	14813	2737
844	14829	2720
845	14846	2702
846	14863	2684
847	14878	2666
848	14893	2648
849	14908	2630
850	14923	2612
851	14939	2595
852	14954	2577
853	14968	2558
854	14981	2540
855	14996	2522
856	15018	2506
857	15035	2488
858	15055	2471
859	15071	2453
860	15089	2436
861	15108	2418
862	15123	2400
863	15137	2382
864	15154	2365
865	15169	2347
866	15185	2329
867	15202	2311
868	15216	2293
869	15233	2276
870	15250	2258
871	15267	2241
872	15285	2223
873	15302	2206
874	15318	2188
875	15333	2170
876	15348	2152
877	15363	2134
878	15378	2116
879	15392	2098
880	15406	2081
881	15421	2063
882	15436	2045
883	15452	2027
884	15470	2010
885	15487	1992
886	15504	1975
887	15520	1957
888	15535	1939
889	15549	1921
890	15566	1904
891	15579	1886
892	15594	1868
893	15610	1850
894	15625	1833
895	15640	1815
896	15655	1797
897	15669	1779
898	15688	1762
899	15703	1744
900	15718	1727
901	15732	1709
902	15746	1691
903	15761	1673
904	15776	1656
905	15792	1638
906	15810	1621
907	15825	1603
908	15839	1585
909	15853	1567
910	15867	1550
911	15881	1532
912	15902	1515
913	15919	1497
914	15935	1480
915	15950	1462
916	15964	1444
917	15978	1427
918	16043	1414
919	16072	1397
920	16088	1380
921	16107	1362
922	16126	1345
923	16141	1327
924	16156	1310
925	16172	1292
926	16186	1274
927	16203	1257
928	16218	1239
929	16233	1221
930	16248	1204
931	16264	1186
932	16280	1169
933	16295	1151
934	16312	1133
935	16330	1116
936	16346	1099
937	16362	1081
938	16377	1063
939	16392	1046
940	16407	1028
941	16421	1011
942	16436	993
943	16450	975
944	16467	958
945	16484	940
946	16508	923
947	16532	906
948	16559	889
949	16583	872
950	16609	855
951	16631	838
952	16657	821
953	16680	804
954	16695	786
955	16712	769
956	16737	752
957	16757	734
958	16775	717
959	16792	699
960	16809	682
961	16830	664
962	16848	647
963	16865	629
964	16881	612
965	16899	594
966	16918	577
967	16938	559
968	16957	542
969	16973	524
970	16988	507
971	17003	489
972	17021	472
973	17038	454
974	17050	437
975	17066	419
976	17082	402
977	17096	384
978	17109	367
979	17124	349
980	17140	331
981	17158	314
982	17175	297
983	17190	279
984	17204	262
985	17217	244
986	17231	226
987	17248	209
988	17264	192
989	17279	174
990	17294	157
991	17309	139
992	17323	122
993	17337	104
994	17354	87
995	17372	69
996	17389	52
997	17407	34
998	17423	17
999	17435	0
